time,aX,aY,aZ
38,-1007.81,-19.53,14.65
38.1,-995.12,-4.88,2.93
38.2,-1007.32,-5.86,23.44
38.3,-995.61,-3.91,4.88
38.4,-1004.39,-16.6,3.91
38.5,-991.21,-31.74,13.67
38.6,-1000,-8.3,10.25
38.7,-998.54,-6.35,3.91
38.8,-1007.81,-12.7,9.28
38.9,-1016.11,-14.16,14.65
39,-1008.3,-13.18,18.55
39.1,-998.05,-13.67,16.11
39.2,-992.19,-17.09,6.35
39.3,-1000.49,-6.84,15.63
39.4,-990.23,-9.77,8.79
39.5,-1012.7,4.39,10.74
39.6,-1002.93,-8.79,7.81
39.7,-1000.98,-8.79,2.44
39.8,-1012.21,-14.16,9.77
39.9,-1015.63,-19.53,13.18
40,-1003.91,-10.25,2.44
40.1,-1000.49,-3.42,5.37
40.2,-1005.86,-14.65,19.53
40.3,-1005.86,-12.21,5.37
40.4,-1000.98,-1.46,1.46
40.5,-1001.95,-15.14,11.72
40.6,-997.56,-9.77,13.67
40.7,-1000.98,-13.18,19.04
40.8,-1000.98,-19.53,9.28
40.9,-994.63,-25.88,6.84
41.1,-1004.39,-1.95,16.6
41.2,-1009.77,-11.23,13.67
41.3,-1001.95,-8.3,13.67
41.4,-1015.63,-2.44,4.88
41.5,-1003.42,-12.7,1.46
41.6,-1007.81,-6.35,16.6
41.7,-996.09,-12.7,4.88
41.8,-999.02,-18.07,14.65
41.9,-998.05,-12.7,10.74
42,-1010.74,-17.09,7.81
42.1,-1006.35,-14.65,15.14
42.2,-991.21,-9.77,10.25
42.3,-1003.42,-3.91,13.18
42.4,-995.12,-3.42,21.48
42.5,-998.54,-1.95,13.18
42.6,-994.63,-14.65,3.91
42.7,-1008.3,-20.51,7.32
42.8,-1006.35,7.32,8.79
42.9,-1000,-6.84,20.51
43,-1008.3,0,9.28
43.1,-1008.3,-16.11,18.55
43.2,-1002.93,-16.11,16.6
43.3,-1006.35,-1.95,4.39
43.4,-988.77,-11.23,13.67
43.5,-990.23,-8.79,10.25
43.6,-1017.09,-3.42,10.25
43.7,-997.56,-5.86,15.63
43.8,-1010.74,4.39,6.35
43.9,-993.65,-1.95,15.14
44,-1006.84,-16.11,17.09
44.1,-1003.42,-5.86,-4.88
44.2,-997.56,-6.35,8.79
44.3,-1012.7,-11.23,15.63
44.4,-995.12,0.98,6.84
44.5,-998.54,-2.93,9.77
44.6,-1018.07,-5.86,8.79
44.7,-1002.93,-20.51,25.39
44.8,-999.51,-5.37,10.74
44.9,-1008.79,6.84,7.81
45,-1004.88,-9.28,13.18
45.2,-1013.67,2.44,13.18
45.3,-1001.46,0,3.42
45.4,-1006.84,-15.14,-1.46
45.5,-1002.44,-12.21,8.3
45.6,-992.68,-5.37,21.48
45.7,-1001.46,-7.81,6.84
45.8,-998.05,0,24.9
45.9,-996.58,6.84,1.46
46,-1009.28,-17.09,11.23
46.2,-1000.49,-12.21,8.3
46.3,-1002.44,-15.14,13.18
46.4,-1001.46,-8.79,12.7
46.5,-1009.28,-10.74,11.23
46.6,-1007.32,-0.49,18.07
46.7,-1014.65,-1.46,11.72
46.8,-1014.16,-12.21,15.14
46.9,-997.07,-14.16,14.16
47.1,-1000,-10.74,17.09
47.2,-1008.3,-12.21,8.3
47.3,-1000.98,-11.23,19.53
47.4,-1002.44,-15.63,7.32
47.5,-1013.67,-10.25,12.7
47.6,-1007.32,-13.67,10.25
47.7,-995.61,-17.58,11.23
47.8,-995.12,-9.28,12.7
47.9,-996.09,-16.11,7.32
48,-1004.88,-1.46,2.44
48.1,-1004.39,-16.6,16.11
48.2,-1005.86,-10.25,22.46
48.3,-1006.84,-11.72,0.49
48.4,-1003.91,-9.77,4.88
48.5,-998.05,-9.77,2.44
48.6,-1005.86,-17.58,6.35
48.7,-1004.39,-8.79,8.79
48.9,-1003.91,-5.86,10.74
49,-1007.81,-10.25,9.28
49.1,-1000,-14.16,16.11
49.2,-999.51,-18.55,14.16
49.3,-1001.95,6.84,1.95
49.4,-1001.95,-12.7,-2.44
49.5,-1005.86,-1.46,11.23
49.6,-999.02,2.93,9.28
49.7,-989.26,-5.37,9.77
49.8,-1011.72,-8.79,10.25
49.9,-994.14,-13.67,14.16
50,-1000.49,-10.74,5.86
50.1,-1000.98,-13.18,11.72
50.2,-1003.42,-12.7,15.63
50.3,-1007.32,-14.16,10.74
50.4,-1003.42,5.37,7.81
50.5,-998.05,-18.55,3.42
50.6,-1006.35,-9.28,8.3
50.7,-1013.18,-12.21,9.28
50.8,-1004.88,-14.65,15.14
50.9,-1011.72,-12.21,4.39
51,-998.05,-10.25,5.37
51.1,-1001.95,-13.67,9.28
51.2,-1000.98,-8.3,15.14
51.3,-1005.86,-17.58,4.88
51.4,-1005.86,-0.98,1.46
51.5,-1008.79,2.93,1.95
51.6,-1006.35,-14.65,12.21
51.7,-1003.91,-1.95,6.35
51.8,-1001.95,-5.37,18.07
51.9,-992.19,-13.18,5.37
52,-1009.28,-10.74,7.32
52.1,-1006.35,-7.32,9.28
52.2,-1009.77,-9.77,9.77
52.3,-1001.46,-0.98,17.58
52.4,-1003.42,-4.88,14.16
52.5,-1009.28,-9.77,15.63
52.6,-1001.46,-13.18,15.14
52.7,-994.63,-16.11,12.7
52.8,-1000.49,-7.32,8.3
52.9,-998.54,-2.93,7.32
53,-1009.77,-12.7,6.84
53.1,-1003.42,-1.46,3.42
53.2,-1007.81,-23.44,14.16
53.3,-1006.84,-6.35,14.65
53.4,-1002.44,-7.81,22.46
53.5,-1004.88,-7.32,18.07
53.6,-1008.3,-12.21,22.95
53.7,-1006.84,-13.67,-0.98
53.8,-1001.46,-1.46,15.14
53.9,-1007.32,-2.44,6.35
54,-1009.28,0,5.37
54.1,-1004.88,-0.98,19.04
54.2,-993.65,-14.16,23.44
54.3,-1027.83,-19.53,19.04
54.4,-1003.91,-2.44,7.32
54.5,-999.02,-16.11,8.3
54.6,-1001.95,-10.74,1.46
54.7,-1000.49,-15.63,5.86
54.8,-994.14,-11.23,8.79
54.9,-1007.32,-16.11,23.93
55,-998.05,-8.3,21.97
55.1,-999.51,-2.44,6.35
55.2,-1011.72,-2.44,20.51
55.3,-1001.95,-9.77,14.65
55.4,-1001.46,1.46,18.07
55.5,-983.89,-7.32,11.72
55.6,-1008.79,-1.95,8.3
55.7,-984.38,-8.3,14.65
55.8,-1002.93,-14.16,17.09
55.9,-1000.98,9.28,9.77
56,-1003.91,-11.23,15.63
56.1,-1007.32,-10.74,3.91
56.2,-987.79,-11.23,13.18
56.3,-992.19,-14.16,5.37
56.4,-992.68,-6.84,11.72
56.5,-1015.63,-21,11.72
56.6,-1011.23,-22.46,13.18
56.7,-1005.86,-16.11,16.11
56.8,-998.05,-7.81,27.83
56.9,-1007.32,-12.7,13.67
57,-1003.91,-3.91,20.02
57.1,-1007.81,-9.77,11.23
57.2,-1000,-11.23,7.81
57.3,-993.16,-7.32,7.81
57.4,-1007.32,-6.84,6.35
57.5,-991.21,-5.37,25.88
57.6,-1005.86,-11.23,-4.39
57.7,-1008.79,-21,19.53
57.8,-999.51,-9.28,9.28
57.9,-1009.77,-6.35,21.48
58,-1002.44,-9.28,14.65
58.1,-1003.91,-9.28,3.91
58.2,-1002.44,-12.7,2.93
58.3,-996.58,-6.84,2.44
58.4,-1001.46,-11.23,18.55
58.5,-1001.95,0.98,18.07
58.6,-999.51,-7.81,1.46
58.7,-1005.86,-1.95,1.95
58.8,-1003.42,-6.84,11.72
58.9,-999.51,-17.09,7.32
59,-1002.44,-10.74,10.74
59.1,-1005.86,-11.23,2.93
59.2,-1004.88,-9.28,1.95
59.3,-995.61,-19.53,3.42
59.4,-1005.86,-21,16.11
59.5,-1008.79,-14.16,7.32
59.6,-1003.42,-6.84,2.44
59.7,-1017.58,-6.84,8.79
59.8,-1012.7,-18.07,17.09
59.9,-1005.86,-5.86,16.6
60,-1001.95,-9.77,13.67
60.1,-988.28,-10.25,21
60.2,-996.58,-8.3,24.9
60.3,-1002.44,-6.84,9.28
60.4,-1000,-13.67,11.23
60.5,-1010.25,-16.11,16.6
60.6,-1002.44,-2.44,8.79
60.7,-1011.23,-1.95,12.21
60.8,-1008.3,-1.46,-3.42
60.9,-1005.86,-11.72,13.18
61,-1011.23,-1.46,-0.98
61.1,-1019.04,-10.74,12.21
61.2,-1007.81,-5.37,5.86
61.3,-1000.98,-26.86,16.11
61.4,-1000.98,-20.51,9.28
61.5,-1007.32,-13.18,16.11
61.6,-994.14,-18.55,10.25
61.7,-1009.77,4.39,22.95
61.8,-1001.95,-9.77,19.04
61.9,-1000,-12.7,4.88
62,-994.63,-3.91,12.7
62.1,-999.51,-0.98,6.35
62.2,-1003.42,-11.72,17.58
62.3,-1001.46,-7.81,9.28
62.4,-1010.74,-14.65,10.74
62.5,-1007.32,-1.46,9.28
62.6,-1014.16,-19.04,3.91
62.7,-997.07,-9.28,12.7
62.8,-996.58,-13.67,4.39
62.9,-1003.91,-10.74,6.35
63,-1018.55,-5.86,15.14
63.1,-999.51,-14.65,7.81
63.2,-1002.93,-13.67,11.23
63.3,-1000.49,-4.39,19.04
63.4,-1002.93,-3.42,14.16
63.5,-1007.81,-5.86,3.91
63.6,-1007.32,-3.42,13.18
63.8,-1008.79,0.49,11.23
63.9,-998.05,-2.44,17.58
64,-997.56,-7.81,24.41
64.1,-1007.32,-8.3,9.77
64.2,-1004.88,-0.98,11.72
64.3,-1006.84,-9.28,18.07
64.4,-1005.37,-18.55,12.21
64.5,-1000,-13.18,3.91
64.6,-1000.98,-14.16,8.79
64.7,-1008.79,-8.79,-6.35
64.8,-1000.98,-14.65,13.67
64.9,-1007.81,-18.07,8.3
65,-1005.37,-8.3,20.51
65.1,-1000.49,-5.37,9.28
65.2,-1017.09,-3.42,7.81
65.3,-1000,-10.25,21.48
65.4,-987.3,-13.18,16.11
65.5,-1008.79,-10.25,10.74
65.6,-1012.21,1.95,6.84
65.7,-1010.74,-9.77,9.77
65.8,-997.07,-12.7,7.81
65.9,-996.09,2.93,6.35
66,-1015.14,-5.86,3.91
66.1,-998.05,-8.79,9.28
66.2,-1015.63,-9.77,10.74
66.3,-1011.23,-20.51,14.65
66.4,-995.12,4.39,8.79
66.5,-998.54,-13.18,8.79
66.6,-1001.46,-16.6,19.53
66.7,-999.02,-0.49,11.72
66.8,-1012.21,-8.3,15.63
66.9,-996.09,-4.88,0.49
67,-1010.25,-7.81,13.18
67.1,-1002.93,-3.42,5.37
67.2,-995.12,5.86,14.65
67.3,-1006.35,-2.93,23.44
67.4,-1002.44,-3.91,11.23
67.5,-1020.02,5.86,20.02
67.6,-1008.3,1.95,17.09
67.7,-992.19,0,12.21
67.8,-1003.91,-16.6,24.41
67.9,-1001.46,2.44,8.3
68,-1002.93,-9.28,6.35
68.1,-1008.3,0.98,10.74
68.2,-998.05,-24.41,9.28
68.3,-998.05,-14.65,7.81
68.4,-1001.46,-10.74,7.81
68.5,-996.09,-12.7,2.44
68.6,-998.54,6.84,4.39
68.7,-991.7,-5.86,0.98
68.8,-994.14,-14.65,6.35
68.9,-1013.67,-7.81,12.21
69.1,-1013.67,2.44,2.44
69.2,-1006.84,4.88,16.6
69.3,-999.51,-14.65,13.18
69.4,-1004.39,-15.14,-3.42
69.5,-995.61,-6.35,14.16
69.6,-1010.25,-16.6,7.81
69.7,-1001.46,-13.18,1.46
69.8,-1011.72,-0.98,0
69.9,-1021.48,-10.25,21.48
70,-1002.93,-8.3,12.21
70.1,-1000.49,-5.37,11.23
70.2,-997.56,10.25,13.18
70.3,-1008.79,-9.28,11.23
70.4,-1000.49,-15.14,15.14
70.5,-1009.77,-12.7,-1.46
70.6,-999.02,2.44,9.28
70.7,-1007.32,-19.04,16.6
70.8,-1011.72,-8.3,19.53
70.9,-1007.81,-12.21,14.65
71,-999.02,-8.79,10.74
71.1,-1006.84,-19.04,2.93
71.2,-992.19,-16.6,12.7
71.3,-996.09,-1.95,8.3
71.4,-1001.95,-17.09,18.07
71.5,-1009.77,-10.25,13.67
71.6,-1000.49,-13.67,10.25
71.7,-1004.39,-9.77,17.58
71.8,-994.14,-13.67,3.91
71.9,-1017.58,-14.16,8.79
72,-1001.95,-22.95,12.7
72.1,-1022.46,-6.84,18.07
72.2,-1014.65,-26.37,10.25
72.3,-1005.86,-8.3,17.58
72.4,-1007.32,-0.49,13.67
72.5,-1006.35,-3.91,16.6
72.6,-997.56,-12.7,1.95
72.7,-1002.93,-0.49,4.88
72.8,-1009.77,8.3,15.63
72.9,-999.51,-8.3,8.3
73,-1003.91,-6.35,9.77
73.1,-998.54,-9.77,8.3
73.2,-1011.23,0,6.35
73.3,-1003.91,-10.25,0
73.4,-1004.39,-7.81,6.84
73.5,-1013.18,-12.21,9.77
73.6,-996.58,-5.86,20.51
73.7,-1001.46,1.46,4.39
73.8,-1008.79,-20.02,19.53
73.9,-1002.93,-11.72,0.98
74,-1008.3,0,10.25
74.1,-1005.86,-11.72,5.86
74.2,-1006.35,-1.46,2.93
74.3,-1006.35,-9.28,6.84
74.4,-1021,0.49,21.48
74.5,-1007.32,-9.77,18.55
74.6,-1005.86,-11.72,5.86
74.7,-1007.81,-0.98,9.77
74.8,-1006.84,-8.79,3.91
74.9,-997.07,-22.46,13.18
75,-996.58,-12.21,13.67
75.1,-997.07,-7.32,9.77
75.2,-1018.55,-12.7,17.58
75.3,-1009.77,-10.74,5.86
75.4,-1016.6,-10.25,21
